name,smiles
rmol_37_2a,CCCN1c2cc(CC)c(CC)cc2N(c2c(OC)cc(OC)cc2OC)C1(O)c1c(OC)cccc1OC
rmol_38,CCCn1c(-c2c(OC)cc(OC)cc2OC)[n+](CCC)c2cc(C)c(C)cc21
rmol_38_2a,CCCN1c2cc(C)c(C)cc2N(CCC)C1(O)c1c(OC)cc(OC)cc1OC
rmol_39,COc1cccc(OC)c1-c1n(-c2ccccc2)c2cc(C)c(C)cc2[n+]1-c1ccccc1
rmol_39_2a,COc1cccc(OC)c1C1(O)N(c2ccccc2)c2cc(C)c(C)cc2N1c1ccccc1
rmol_40,CCc1cc2c(cc1CC)[n+](Cc1ccccc1)c(-c1c(OC)cc(OC)cc1OC)n2Cc1ccccc1
rmol_40_2a,CCc1cc2c(cc1CC)N(Cc1ccccc1)C(O)(c1c(OC)cc(OC)cc1OC)N2Cc1ccccc1
rmol_41,Cc1c(C)c(-c2n(C)cc[n+]2C)c(C)c(C)c1-c1n(C)cc[n+]1C
rmol_41_2a,Cc1c(C)c(C2(O)N(C)C=CN2C)c(C)c(C)c1-c1n(C)cc[n+]1C
rmol_42,Cc1c(C)c(-c2n(C)c(C)c[n+]2C)c(C)c(C)c1-c1n(C)c(C)c[n+]1C
rmol_42_2a,CC1=CN(C)C(O)(c2c(C)c(C)c(-c3n(C)c(C)c[n+]3C)c(C)c2C)N1C
rmol_43,Cc1c(C)c(-c2n(C)c(C)c(C)[n+]2C)c(C)c(C)c1-c1n(C)c(C)c(C)[n+]1C
rmol_43_2a,CC1=C(C)N(C)C(O)(c2c(C)c(C)c(-c3n(C)c(C)c(C)[n+]3C)c(C)c2C)N1C
rmol_44,CCCc1c(CCC)[n+](C)c(-c2c(C)c(C)c(-c3n(C)c(CCC)c(CCC)[n+]3C)c(C)c2C)n1C
rmol_44_2a,CCCC1=C(CCC)N(C)C(O)(c2c(C)c(C)c(-c3n(C)c(CCC)c(CCC)[n+]3C)c(C)c2C)N1C
rmol_45,Cc1c(C)c(-c2n(C)c(C(C)(C)C)c(C(C)(C)C)[n+]2C)c(C)c(C)c1-c1n(C)c(C(C)(C)C)c(C(C)(C)C)[n+]1C
rmol_45_2a,Cc1c(C)c(C2(O)N(C)C(C(C)(C)C)=C(C(C)(C)C)N2C)c(C)c(C)c1-c1n(C)c(C(C)(C)C)c(C(C)(C)C)[n+]1C
rmol_46,CCn1cc(C)[n+](CC)c1-c1c(C)c(C)c(-c2n(CC)cc(C)[n+]2CC)c(C)c1C
rmol_46_2a,CCN1C=C(C)N(CC)C1(O)c1c(C)c(C)c(-c2n(CC)cc(C)[n+]2CC)c(C)c1C
rmol_47,CCc1c(CC)[n+](C)c(-c2c(C)c(C)c(-c3n(C)c(CC)c(CC)[n+]3C)c(C)c2C)n1C
rmol_47_2a,CCC1=C(CC)N(C)C(O)(c2c(C)c(C)c(-c3n(C)c(CC)c(CC)[n+]3C)c(C)c2C)N1C
rmol_48,CCCc1c(CCC)[n+](CCC)c(-c2c(C)c(C)c(-c3n(CCC)c(CCC)c(CCC)[n+]3CCC)c(C)c2C)n1CCC
rmol_48_2a,CCCC1=C(CCC)N(CCC)C(O)(c2c(C)c(C)c(-c3n(CCC)c(CCC)c(CCC)[n+]3CCC)c(C)c2C)N1CCC
rmol_49,Cc1c(C)c(-c2n(C(C)(C)C)c(C(C)(C)C)c(C(C)(C)C)[n+]2C(C)(C)C)c(C)c(C)c1-c1n(C(C)(C)C)c(C(C)(C)C)c(C(C)(C)C)[n+]1C(C)(C)C
rmol_49_2a,Cc1c(C)c(C2(O)N(C(C)(C)C)C(C(C)(C)C)=C(C(C)(C)C)N2C(C)(C)C)c(C)c(C)c1-c1n(C(C)(C)C)c(C(C)(C)C)c(C(C)(C)C)[n+]1C(C)(C)C
rmol_50,Cc1c(C)c(-c2n(C(C)(C)C)c(C(C)(C)C)c(C(C)(C)C)[n+]2C)c(C)c(C)c1-c1n(C(C)(C)C)c(C(C)(C)C)c(C(C)(C)C)[n+]1C
