Molecule,SinglePointEnergy[a.u.],nAtoms,DipoleMoment[Debye],MolecularWeight[g/mol],HOMO-1[kcal/mol],HOMO[kcal/mol],LUMO[kcal/mol],LUMO+1[kcal/mol],CoreStructure,N-1_subst,C-2_subst,N-3_subst,C-4_subst,C-5_subst,N-1_Avalue[kcal/mol],C-2_Avalue[kcal/mol],N-3_Avalue[kcal/mol],C-4_Avalue[kcal/mol],C-5_Avalue[kcal/mol],LUMO_N-1[%],LUMO_C-2[%],LUMO_N-3[%]
mol_10073,-1932.776705109168,104,10.77891,647.9529999999978,-147.998625159,-145.684999476,-39.0310598,-18.283102224,III_benzimid,TMP,Isobutyl,TMP,TMP,TMP,7.628118434,3.276026296,7.628118434,7.628118434,7.628118434,0.068127,0.329803,0.069133,
mol_10078,-2154.982004038244,102,6.81147,683.8974399999981,-140.165430312,-138.577205033,-37.398908891,-18.573638891,III_benzimid,TMP,Isobutyl,TMP,DMOB,DMOB,7.628118434,3.276026296,7.628118434,6.042753333,6.042753333,0.075618,0.345626,0.074124,
mol_10085,-1470.832640134591,84,4.71490,495.76108000000056,-157.880009382,-154.283127794,-36.825365665,-20.46306849,III_benzimid,EP,Isobutyl,EP,Isobutyl,Isobutyl,3.874770761,3.276026296,3.874770761,3.276026296,3.276026296,0.078854,0.349244,0.075127,
mol_10087,-1470.788690571895,84,4.88174,495.76108000000056,-158.192508864,-155.681845355,-36.808422922000005,-20.834553818000003,III_benzimid,EP,Isobutyl,EP,t-Butyl,t-Butyl,3.874770761,3.276026296,3.874770761,4.972259776,4.972259776,0.08951,0.376801,0.08828,
mol_10088,-1628.001001030620,96,7.54825,551.8673999999984,-157.66728383100002,-152.77208612200002,-34.715680407,-20.805060894999997,III_benzimid,EP,Isobutyl,EP,DMB,DMB,3.874770761,3.276026296,3.874770761,1.753807476,1.753807476,0.08264,0.355552,0.078581,
mol_10089,-1618.396623448764,80,8.16187,535.740359999999,-156.792536285,-146.235324869,-40.10159015400001,-27.455401277,III_benzimid,EP,Isobutyl,EP,phen,phen,3.874770761,3.276026296,3.874770761,3.620874142,3.620874142,0.065558,0.318524,0.062568,
mol_10096,-1854.171486957776,98,8.24873,619.8998399999979,-150.871361361,-150.594002383,-35.702752064,-19.76025841,III_benzimid,EP,Isobutyl,EP,DMBz,DMBz,3.874770761,3.276026296,3.874770761,2.127721562,2.127721562,0.080992,0.35516,0.078517,
mol_10098,-2076.376977159634,96,7.35664,655.8442799999981,-139.562394163,-139.21287165,-36.863016205,-20.936837784999998,III_benzimid,EP,Isobutyl,EP,DMOB,DMOB,3.874770761,3.276026296,3.874770761,6.042753333,6.042753333,0.076485,0.351243,0.077179,
mol_101,-619.579750420875,40,2.67452,209.35099999999974,-187.84168160500002,-158.74534429300002,-16.593847996,11.802816781,I_imid,Isobutyl,Hydro,Isobutyl,Methyl,Methyl,3.276026296,0,3.276026296,1.803016771,1.803016771,0.154919,0.480508,0.150432,
mol_1010,-767.117880003204,36,1.18079,249.33027999999976,-171.51075988,-169.220979539,-26.219836056000002,-21.704908801000002,I_imid,phen,Ethyl,phen,Hydro,Hydro,3.620874142,1.711067804,3.620874142,0,0,0.082606,0.28432,0.086418,
mol_10101,-1156.482903140753,60,4.84904,383.54844000000037,-158.01868887100002,-154.121857981,-33.948864409,-14.042396402,III_benzimid,Bz,Isobutyl,Bz,Methyl,Methyl,1.541420611,3.276026296,1.541420611,1.803016771,1.803016771,0.078176,0.350289,0.077035,
mol_10106,-1392.228516656317,78,7.07888,467.70792000000057,-156.380262872,-154.419297247,-35.185057139,-14.312225272,III_benzimid,Bz,Isobutyl,Bz,Sec-Butyl,Sec-Butyl,1.541420611,3.276026296,1.541420611,2.129855094,2.129855094,0.077987,0.347351,0.075562,
mol_10107,-1392.203221493901,78,7.59635,467.7079200000005,-156.723510295,-154.440632553,-34.959153899,-14.738931392,III_benzimid,Bz,Isobutyl,Bz,t-Butyl,t-Butyl,1.541420611,3.276026296,1.541420611,4.972259776,4.972259776,0.080616,0.350397,0.080664,
mol_10110,-1618.400029898281,80,10.79652,535.7403599999991,-153.184359535,-148.919180862,-38.301266833,-21.916379334,III_benzimid,Bz,Isobutyl,Bz,tolu,tolu,1.541420611,3.276026296,1.541420611,3.798133026,3.798133026,0.063694,0.311826,0.062575,
mol_10111,-1696.982877600233,86,10.75991,563.793519999998,-150.816768078,-148.533262827,-38.606236207,-17.92165704,III_benzimid,Bz,Isobutyl,Bz,DMP,DMP,1.541420611,3.276026296,1.541420611,8.431506296,8.431506296,0.065604,0.317161,0.063699,
mol_10113,-1775.583056158834,92,12.52511,591.846679999998,-147.56501644000002,-145.328574364,-38.128074349,-17.517541244,III_benzimid,Bz,Isobutyl,Bz,TMP,TMP,1.541420611,3.276026296,1.541420611,7.628118434,7.628118434,0.06251,0.309745,0.064063,
mol_10117,-1854.173062179461,98,12.10818,619.8998399999979,-146.553471932,-143.520720935,-34.988646822,-14.302812637,III_benzimid,Bz,Isobutyl,Bz,TMBz,TMBz,1.541420611,3.276026296,1.541420611,2.232277195,2.232277195,0.076697,0.343366,0.07194,
mol_10120,-1235.060493302892,66,2.81334,411.6016000000004,-154.406119558,-154.202806642,-37.107744715,-15.385265662000002,III_benzimid,DMBz,Isobutyl,DMBz,Hydro,Hydro,2.127721562,3.276026296,2.127721562,0,0,0.072032,0.338851,0.071728,
mol_10125,-1549.420620082537,90,4.51208,523.8142399999999,-153.793043265,-152.35102758300002,-35.790603324,-15.229015921,III_benzimid,DMBz,Isobutyl,DMBz,Isobutyl,Isobutyl,2.127721562,3.276026296,2.127721562,3.276026296,3.276026296,0.073547,0.341642,0.074157,
mol_10126,-1549.398622329428,90,6.45626,523.81424,-154.263047506,-152.7356906,-34.584531026,-15.13551708,III_benzimid,DMBz,Isobutyl,DMBz,Sec-Butyl,Sec-Butyl,2.127721562,3.276026296,2.127721562,2.129855094,2.129855094,0.07256,0.332982,0.07225,
mol_10127,-1549.384929522894,90,7.91620,523.8142399999999,-154.018946505,-153.875874453,-32.678786193,-15.363302847000002,III_benzimid,DMBz,Isobutyl,DMBz,t-Butyl,t-Butyl,2.127721562,3.276026296,2.127721562,4.972259776,4.972259776,0.079263,0.347685,0.078377,
mol_10129,-1696.983872641841,86,8.60012,563.793519999998,-154.51154107,-147.369861141,-37.982492261,-23.862912252,III_benzimid,DMBz,Isobutyl,DMBz,phen,phen,2.127721562,3.276026296,2.127721562,3.620874142,3.620874142,0.05969,0.300081,0.0618,
mol_10135,-1775.570262464451,92,6.15747,591.846679999998,-154.503383453,-153.479288765,-35.243415476,-15.209563142,III_benzimid,DMBz,Isobutyl,DMBz,Bz,Bz,2.127721562,3.276026296,2.127721562,1.541420611,1.541420611,0.075424,0.334148,0.070501,
mol_10139,-2383.958986393100,110,11.24281,743.9493999999981,-135.27839022,-129.625789148,-33.392263926,-15.176932674,III_benzimid,DMBz,Isobutyl,DMBz,TMOB,TMOB,2.127721562,3.276026296,2.127721562,6.045928531,6.045928531,0.073208,0.334411,0.075853,
mol_10144,-1628.024141789906,96,5.80206,551.8673999999985,-151.830195113,-150.16227619100002,-33.470075042000005,-13.277462931,III_benzimid,TMBz,Isobutyl,TMBz,Butyl,Butyl,2.232277195,3.276026296,2.232277195,1.602489835,1.602489835,0.074909,0.330529,0.071883,
mol_10145,-1628.025366420667,96,6.10664,551.8673999999984,-152.034763047,-149.994731288,-33.317590355,-12.992573845,III_benzimid,TMBz,Isobutyl,TMBz,Isobutyl,Isobutyl,2.232277195,3.276026296,2.232277195,3.276026296,3.276026296,0.070168,0.327849,0.072577,
mol_10149,-1775.579797785849,92,5.88418,591.846679999998,-150.508661159,-147.998625159,-38.561683068,-23.096723763,III_benzimid,TMBz,Isobutyl,TMBz,phen,phen,2.232277195,3.276026296,2.232277195,3.620874142,3.620874142,0.057187,0.301619,0.063621,
mol_10151,-1932.756657818188,104,8.19750,647.9529999999978,-150.21059438400002,-148.875255232,-37.627322167,-16.492819047,III_benzimid,TMBz,Isobutyl,TMBz,DMP,DMP,2.232277195,3.276026296,2.232277195,8.431506296,8.431506296,0.062097,0.309564,0.063647,
