Molecule,SinglePointEnergy[a.u.],nAtoms,DipoleMoment[Debye],MolecularWeight[g/mol],HOMO-1[kcal/mol],HOMO[kcal/mol],LUMO[kcal/mol],LUMO+1[kcal/mol],CoreStructure,N-1_subst,C-2_subst,N-3_subst,C-4_subst,C-5_subst,N-1_Avalue[kcal/mol],C-2_Avalue[kcal/mol],N-3_Avalue[kcal/mol],C-4_Avalue[kcal/mol],C-5_Avalue[kcal/mol],LUMO_N-1[%],LUMO_C-2[%],LUMO_N-3[%]
mol_281,-924.308266937595,48,2.21490,305.43660000000034,-163.70454792,-162.57691424700002,-24.491676270000003,-19.839324544,I_imid,EP,Hydro,EP,Methyl,Methyl,3.874770761,0,3.874770761,1.803016771,1.803016771,0.113992,0.365263,0.114003,
mol_2810,-1081.482707012533,60,4.09440,361.54292000000044,-154.883653907,-154.717364022,-17.994448084000002,-15.371460464,I_imid,DMBz,Sec-Butyl,DMBz,Hydro,Hydro,2.127721562,2.129855094,2.127721562,0,0,0.05961,0.187935,0.062257,
mol_28102,-2424.820163014016,119,1.82262,799.0972199999982,-158.631137655,-157.600767877,-43.113005845,-37.732743679,IV_imid3,phen,Unspecified,Bz,Ethyl,Ethyl,3.620874142,-1,1.541420611,1.711067804,1.711067804,0.047434000000000004,0.1767725,0.0475825,
mol_28104,-2739.170070143713,143,3.93258,911.3098599999979,-157.491581311,-156.596753477,-46.205997706000005,-39.518634293000005,IV_imid3,phen,Unspecified,Bz,Butyl,Butyl,3.620874142,-1,1.541420611,1.602489835,1.602489835,0.043046,0.157429,0.044884,
mol_28109,-3034.294600214756,135,7.27894,991.2684199999989,-149.177087061,-148.687002532,-47.1259259,-43.151911403,IV_imid3,phen,Unspecified,Bz,phen,phen,3.620874142,-1,1.541420611,3.620874142,3.620874142,0.0419415,0.1678065,0.0437785,
mol_2811,-1160.072827721656,66,1.77862,389.5960800000005,-153.772335468,-152.598266129,-16.187849673000002,-14.342345704000001,I_imid,DMBz,Sec-Butyl,DMBz,Methyl,Methyl,2.127721562,2.129855094,2.127721562,1.803016771,1.803016771,0.113795,0.341102,0.108534,
mol_28114,-3348.647748923947,159,10.38496,1103.4810599999985,-151.128012542,-150.623495306,-46.158934531,-41.354098118,IV_imid3,phen,Unspecified,Bz,EP,EP,3.620874142,-1,1.541420611,3.874770761,3.874770761,0.0448365,0.1712245,0.042866,
mol_28126,-2896.335306288860,155,7.70112,967.4161799999978,-154.911264303,-154.09111004000002,-44.74766679,-39.245040369,IV_imid3,phen,Unspecified,DMBz,Sec-Butyl,Sec-Butyl,3.620874142,-1,2.127721562,2.129855094,2.129855094,0.042743500000000004,0.1492815,0.044859500000000004,
mol_2814,-1395.832615573108,84,3.71833,473.7555600000006,-153.722134748,-151.80697728,-17.924794585,-13.928817273000002,I_imid,DMBz,Sec-Butyl,DMBz,Butyl,Butyl,2.127721562,2.129855094,2.127721562,1.602489835,1.602489835,0.092508,0.284478,0.095111,
mol_28140,-2346.220381139192,113,5.59997,771.0440599999982,-153.135413833,-152.42883869899998,-44.598319648,-39.315948886,IV_imid3,phen,Unspecified,TMBz,Hydro,Hydro,3.620874142,-1,2.232277195,0,0,0.046556,0.1763105,0.0454115,
mol_28143,-2817.773476774980,149,3.51392,939.3630199999978,-152.373617907,-151.518950649,-42.045613036,-37.3367855,IV_imid3,phen,Unspecified,TMBz,Propyl,Propyl,3.620874142,-1,2.232277195,1.649728751,1.649728751,0.046851000000000004,0.173437,0.046727,
mol_2815,-1395.831606150447,84,2.29137,473.7555600000006,-154.265557542,-152.016565286,-18.564853765000002,-13.697893961000002,I_imid,DMBz,Sec-Butyl,DMBz,Isobutyl,Isobutyl,2.127721562,2.129855094,2.127721562,3.276026296,3.276026296,0.136707,0.419226,0.130212,
mol_28163,-2961.380881387106,141,3.56894,947.2542999999982,-149.13316143100002,-146.62877301199998,-44.509840878999995,-40.739766806999995,IV_imid3,phen,Unspecified,DMOB,Propyl,Propyl,3.620874142,-1,6.042753333,1.649728751,1.649728751,0.045528,0.16841050000000002,0.04457799999999999,
mol_28165,-3118.557356543739,153,5.43123,1003.3606199999981,-148.74661588700002,-147.450182293,-44.042974183,-39.221822536000005,IV_imid3,phen,Unspecified,DMOB,Isobutyl,Isobutyl,3.620874142,-1,6.042753333,3.276026296,3.276026296,0.044890000000000006,0.173998,0.046938999999999995,
mol_28166,-3118.548178678355,153,4.28852,1003.3606199999981,-148.552088097,-148.190642913,-43.87542928,-39.41446779900001,IV_imid3,phen,Unspecified,DMOB,Sec-Butyl,Sec-Butyl,3.620874142,-1,6.042753333,2.129855094,2.129855094,0.045649499999999996,0.16748849999999998,0.046198,
mol_2817,-1395.771250889633,84,0.81195,473.7555600000006,-153.747862617,-152.499119707,-20.367059613,-10.644435167,I_imid,DMBz,Sec-Butyl,DMBz,t-Butyl,t-Butyl,2.127721562,2.129855094,2.127721562,4.972259776,4.972259776,0.123886,0.40599,0.138041,
mol_2818,-1553.002051795873,96,0.31040,529.8618799999997,-153.843871494,-151.891690995,-17.136643281,-14.164760657,I_imid,DMBz,Sec-Butyl,DMBz,DMB,DMB,2.127721562,2.129855094,2.127721562,1.753807476,1.753807476,0.132616,0.422673,0.137371,
mol_28184,-3347.557180396695,161,3.23974,1063.4125799999981,-147.10065978,-145.88329232,-43.230977537,-38.209650519,IV_imid3,phen,Unspecified,TMOB,Butyl,Butyl,3.620874142,-1,6.045928531,1.602489835,1.602489835,0.045223,0.1691885,0.045529,
mol_28186,-3347.528109110727,161,7.52766,1063.4125799999981,-146.42106753299998,-146.015696719,-43.641995932,-39.186682032,IV_imid3,phen,Unspecified,TMOB,Sec-Butyl,Sec-Butyl,3.620874142,-1,6.045928531,2.129855094,2.129855094,0.046694,0.16970049999999998,0.045643,
mol_2819,-1543.390326305502,80,6.60359,513.7348400000003,-153.211969931,-151.762424141,-23.123079141,-19.388773082,I_imid,DMBz,Sec-Butyl,DMBz,phen,phen,2.127721562,2.129855094,2.127721562,3.620874142,3.620874142,0.043447,0.156956,0.059514,
mol_28190,-3799.860097015109,165,9.70468,1199.4774599999987,-146.991473214,-146.55911951299998,-47.477958449000006,-41.731858536,IV_imid3,phen,Unspecified,TMOB,tolu,tolu,3.620874142,-1,6.045928531,3.798133026,3.798133026,0.042671,0.15935549999999998,0.041938500000000004,
mol_28194,-3957.028205339276,177,4.93712,1255.5837799999983,-146.672071133,-146.066524948,-46.817818980999995,-42.656806802,IV_imid3,phen,Unspecified,TMOB,EP,EP,3.620874142,-1,6.045928531,3.874770761,3.874770761,0.040351,0.16337400000000002,0.042745,
mol_282,-1002.895509254411,54,0.78170,333.4897600000004,-163.716470591,-161.827040992,-24.831158639,-19.778456171,I_imid,EP,Hydro,EP,Ethyl,Ethyl,3.874770761,0,3.874770761,1.711067804,1.711067804,0.104918,0.338438,0.105113,
mol_28206,-2977.318276070854,165,5.10115,999.5010999999976,-157.202927171,-155.681845355,-40.615520025,-36.01274151,IV_imid3,phen,Unspecified,adam,Sec-Butyl,Sec-Butyl,3.620874142,-1,3.685796275,2.129855094,2.129855094,0.047336500000000004,0.176426,0.0478335,
mol_28216,-1805.748938606777,87,2.51215,590.7989799999982,-158.01304129,-157.22300745900003,-43.444330597000004,-37.749686422,IV_imid3,tolu,Unspecified,Hydro,Methyl,Methyl,3.798133026,-1,0,1.803016771,1.803016771,0.046234,0.155308,0.042337,
mol_28218,-2120.097922889357,111,4.05854,703.011619999998,-157.726269677,-156.508902217,-43.933160108,-38.251693622,IV_imid3,tolu,Unspecified,Hydro,Propyl,Propyl,3.798133026,-1,0,1.649728751,1.649728751,0.046111,0.159599,0.044968,
mol_2822,-1857.734885256268,104,2.43284,625.9474799999977,-153.609183128,-150.174826371,-22.15734279,-20.888519591999998,I_imid,DMBz,Sec-Butyl,DMBz,DEP,DEP,2.127721562,2.129855094,2.127721562,10.28464853,10.28464853,0.060089,0.268811,0.107805,
mol_28220,-2277.277184862697,123,6.19857,759.1179399999977,-157.215477351,-155.85190029400002,-43.619405608,-37.670620288,IV_imid3,tolu,Unspecified,Hydro,Isobutyl,Isobutyl,3.798133026,-1,0,3.276026296,3.276026296,0.045419,0.161586,0.0464885,
mol_28224,-2572.397315191280,115,11.39774,839.0764999999986,-148.710847874,-148.171817643,-47.561417146000004,-43.039587292,IV_imid3,tolu,Unspecified,Hydro,phen,phen,3.798133026,-1,0,3.620874142,3.620874142,0.041159,0.1599285,0.0419845,
mol_28225,-2729.575292205030,127,10.41707,895.1828199999985,-151.05145644400002,-149.003894577,-49.007825391000004,-42.84631452,IV_imid3,tolu,Unspecified,Hydro,tolu,tolu,3.798133026,-1,0,3.798133026,3.798133026,0.0408215,0.14692149999999998,0.041471999999999995,
mol_28235,-1727.134037540653,81,9.39483,562.7458199999983,-163.85891513400003,-163.214463391,-44.216166667,-40.772397275,IV_imid3,tolu,Unspecified,Methyl,Hydro,Hydro,3.798133026,-1,1.803016771,0,0,0.041567,0.170815,0.0466285,
mol_2824,-1700.565492655271,92,2.94954,569.8411599999978,-154.470752985,-153.49811403500001,-22.848230199,-19.109531577000002,I_imid,DMBz,Sec-Butyl,DMBz,EP,EP,2.127721562,2.129855094,2.127721562,3.874770761,3.874770761,0.072908,0.218812,0.070062,
mol_28241,-2355.845862214707,129,6.96134,787.1710999999976,-157.21924240500002,-155.939751554,-43.476961065,-40.16371354500001,IV_imid3,tolu,Unspecified,Methyl,Sec-Butyl,Sec-Butyl,3.798133026,-1,1.803016771,2.129855094,2.129855094,0.042565,0.162184,0.046719000000000004,
mol_28245,-2808.158087710058,133,10.14867,923.2359799999984,-151.004393269,-150.42457495300002,-45.508207698,-42.196842705,IV_imid3,tolu,Unspecified,Methyl,tolu,tolu,3.798133026,-1,1.803016771,3.798133026,3.798133026,0.040812,0.1632055,0.041531,
mol_28255,-1805.727656461399,87,1.10605,590.7989799999982,-164.232282989,-163.79930177900002,-45.316817453000006,-39.721947209,IV_imid3,tolu,Unspecified,Ethyl,Hydro,Hydro,3.798133026,-1,1.711067804,0,0,0.0442085,0.1630095,0.0442265,
mol_28264,-2729.568605259333,127,10.06731,895.1828199999985,-148.51883012000002,-147.598274417,-47.118395792,-41.797119472,IV_imid3,tolu,Unspecified,Ethyl,phen,phen,3.798133026,-1,1.711067804,3.620874142,3.620874142,0.039656,0.15327849999999998,0.040139,
mol_28271,-3201.114794201820,163,9.83682,1063.5017799999982,-150.787275155,-149.463231165,-42.647394167,-36.82850321,IV_imid3,tolu,Unspecified,Ethyl,DMBz,DMBz,3.798133026,-1,1.711067804,2.127721562,2.127721562,0.0421635,0.1577155,0.0449535,
mol_28277,-2198.678619985354,117,2.47397,731.0647799999979,-157.52358427,-156.557847919,-41.69169796,-36.772654909,IV_imid3,tolu,Unspecified,Propyl,Ethyl,Ethyl,3.798133026,-1,1.649728751,1.711067804,1.711067804,0.0446485,0.172318,0.047201999999999994,
mol_2828,-2001.375603315204,96,3.97379,633.838759999998,-142.812263274,-141.308124201,-19.093843852,-16.634008572,I_imid,DMBz,Sec-Butyl,DMBz,DMOB,DMOB,2.127721562,2.129855094,2.127721562,6.042753333,6.042753333,0.038552,0.167632,0.074831,
mol_28286,-3122.508078204482,157,13.31202,1035.4486199999983,-149.297568789,-148.983814289,-47.663073604,-44.792219929,IV_imid3,tolu,Unspecified,Propyl,DMP,DMP,3.798133026,-1,1.649728751,8.431506296,8.431506296,0.0401065,0.1529085,0.0430455,
mol_28288,-3279.704501339511,169,15.40468,1091.5549399999982,-146.100410434,-145.797951096,-45.95875916,-43.086022958,IV_imid3,tolu,Unspecified,Propyl,TMP,TMP,3.798133026,-1,1.649728751,7.628118434,7.628118434,0.043913,0.1598835,0.0413075,
mol_28290,-2965.332831865443,145,8.47975,979.3422999999983,-154.746856945,-154.162646066,-44.671738201000004,-39.085653083000004,IV_imid3,tolu,Unspecified,Propyl,Bz,Bz,3.798133026,-1,1.649728751,1.541420611,1.541420611,0.0429035,0.1609335,0.0406055,
mol_28295,-1962.904076894420,99,1.60063,646.9052999999981,-164.139411657,-163.751611095,-44.154043275999996,-39.57699263,IV_imid3,tolu,Unspecified,Butyl,Hydro,Hydro,3.798133026,-1,1.602489835,0,0,0.04189,0.16491450000000002,0.044225,
mol_28296,-2120.094402211191,111,1.33524,703.011619999998,-157.919542449,-156.407873268,-40.962532502,-38.820844285,IV_imid3,tolu,Unspecified,Butyl,Methyl,Methyl,3.798133026,-1,1.602489835,1.803016771,1.803016771,0.046966,0.17149150000000002,0.047963000000000006,
mol_28298,-2434.447576444325,135,6.61965,815.2242599999977,-157.18912197300003,-156.104786421,-43.150656385000005,-38.582390865,IV_imid3,tolu,Unspecified,Butyl,Propyl,Propyl,3.798133026,-1,1.602489835,1.649728751,1.649728751,0.042867499999999996,0.153027,0.040358000000000005,
mol_28300,-2591.619463830105,147,7.45456,871.3305799999974,-156.572908135,-154.958954987,-44.555021527,-40.370164006,IV_imid3,tolu,Unspecified,Butyl,Isobutyl,Isobutyl,3.798133026,-1,1.602489835,3.276026296,3.276026296,0.0437785,0.159404,0.046015,
mol_28305,-3043.921780818876,151,10.86657,1007.3954599999983,-152.245606071,-150.591492347,-45.15241009500001,-40.11665037,IV_imid3,tolu,Unspecified,Butyl,tolu,tolu,3.798133026,-1,1.602489835,3.798133026,3.798133026,0.042216500000000004,0.165726,0.042235,
mol_28306,-3201.100118309259,163,11.73963,1063.5017799999982,-149.93511793300002,-148.80183667900002,-45.818824653,-41.487757535,IV_imid3,tolu,Unspecified,Butyl,DMP,DMP,3.798133026,-1,1.602489835,8.431506296,8.431506296,0.0424755,0.15951300000000002,0.040807,
mol_2831,-1238.670537350780,72,1.76221,417.64924000000053,-150.476030691,-149.778240683,-15.216465741,-12.083940813,I_imid,TMBz,Sec-Butyl,TMBz,Methyl,Methyl,2.232277195,2.129855094,2.232277195,1.803016771,1.803016771,0.129243,0.390559,0.125161,
mol_28316,-2120.099399942508,111,4.28743,703.0116199999978,-157.679206502,-156.216483023,-41.985372172,-39.499181514,IV_imid3,tolu,Unspecified,Isobutyl,Methyl,Methyl,3.798133026,-1,3.276026296,1.803016771,1.803016771,0.0447515,0.15547350000000001,0.040991,
mol_28318,-2434.452402883169,135,4.24903,815.2242599999976,-157.08621049700002,-156.003129963,-42.7961138,-37.344943117,IV_imid3,tolu,Unspecified,Isobutyl,Propyl,Propyl,3.798133026,-1,3.276026296,1.649728751,1.649728751,0.045183,0.166793,0.0467565,
mol_28326,-3201.099145489233,163,13.12911,1063.5017799999982,-149.142574066,-149.082960711,-46.16583713,-41.989137226000004,IV_imid3,tolu,Unspecified,Isobutyl,DMP,DMP,3.798133026,-1,3.276026296,8.431506296,8.431506296,0.0399765,0.1592865,0.043817499999999995,
mol_28330,-3043.920264002390,151,10.68891,1007.3954599999983,-155.31349757200002,-154.960837514,-44.889483824,-39.701866921000004,IV_imid3,tolu,Unspecified,Isobutyl,Bz,Bz,3.798133026,-1,3.276026296,1.541420611,1.541420611,0.0423145,0.156244,0.044335,
mol_28339,-2591.612679132099,147,8.12381,871.3305799999974,-156.625618891,-155.777854232,-42.458513958,-37.093312008,IV_imid3,tolu,Unspecified,Sec-Butyl,Butyl,Butyl,3.798133026,-1,2.129855094,1.602489835,1.602489835,0.047569,0.17452,0.0468915,
mol_2834,-1474.429948432532,90,3.90960,501.8087200000007,-150.766567358,-149.367849797,-16.767667989000003,-12.039387674000002,I_imid,TMBz,Sec-Butyl,TMBz,Butyl,Butyl,2.232277195,2.129855094,2.232277195,1.602489835,1.602489835,0.145655,0.431161,0.138477,
mol_28340,-2591.614852136401,147,4.68094,871.3305799999974,-156.048310611,-155.554461028,-41.837280048,-37.76976671,IV_imid3,tolu,Unspecified,Sec-Butyl,Isobutyl,Isobutyl,3.798133026,-1,2.129855094,3.276026296,3.276026296,0.0473555,0.1694515,0.0450935,
mol_2835,-1474.429314582155,90,4.55805,501.8087200000007,-150.2256546,-149.69164444100002,-16.65408886,-11.768303786,I_imid,TMBz,Sec-Butyl,TMBz,Isobutyl,Isobutyl,2.232277195,2.129855094,2.232277195,3.276026296,3.276026296,0.119118,0.368082,0.123326,
mol_28350,-3043.918896299106,151,11.99668,1007.3954599999983,-155.294044793,-154.63076778,-42.868904844,-37.791729525,IV_imid3,tolu,Unspecified,Sec-Butyl,Bz,Bz,3.798133026,-1,2.129855094,1.541420611,1.541420611,0.04594,0.163887,0.0425425,
mol_28356,-2120.071441897859,111,5.51736,703.0116199999978,-157.91138483199998,-156.68711477300002,-40.804400234,-36.409327198,IV_imid3,tolu,Unspecified,t-Butyl,Methyl,Methyl,3.798133026,-1,4.972259776,1.803016771,1.803016771,0.0476805,0.171199,0.0461955,
mol_2836,-1474.412856604340,90,4.76428,501.8087200000007,-149.537904736,-148.791796535,-19.555690476000002,-11.522320258,I_imid,TMBz,Sec-Butyl,TMBz,Sec-Butyl,Sec-Butyl,2.232277195,2.129855094,2.232277195,2.129855094,2.129855094,0.14336,0.430787,0.136746,
mol_28371,-3358.262303274744,175,4.90802,1119.6080999999979,-150.2256546,-149.944530568,-40.730981680999996,-36.639623001000004,IV_imid3,tolu,Unspecified,t-Butyl,DMBz,DMBz,3.798133026,-1,4.972259776,2.127721562,2.127721562,0.043781,0.173615,0.049027,
mol_28381,-2748.769848998603,159,3.48870,927.4368999999973,-156.685859755,-155.97614707600002,-43.434917962,-37.927898978,IV_imid3,tolu,Unspecified,DMB,Sec-Butyl,Sec-Butyl,3.798133026,-1,1.753807476,2.129855094,2.129855094,0.043157,0.1583835,0.0458965,
mol_28389,-3358.253380527591,175,11.15277,1119.6080999999979,-149.709214693,-149.18398966,-48.405416751000004,-42.77728853,IV_imid3,tolu,Unspecified,DMB,EP,EP,3.798133026,-1,1.753807476,3.874770761,3.874770761,0.041389499999999996,0.149683,0.041238,
mol_2839,-1621.987350395367,86,6.15328,541.7879999999988,-148.735948234,-147.82731520200002,-22.772929118999997,-18.411114060000003,I_imid,TMBz,Sec-Butyl,TMBz,phen,phen,2.232277195,2.129855094,2.232277195,3.620874142,3.620874142,0.066478,0.171356,0.044939,
mol_28397,-2424.816898478120,119,2.70498,799.0972199999982,-158.909751651,-157.770195307,-45.628689426,-40.001188714,IV_imid3,tolu,Unspecified,phen,Ethyl,Ethyl,3.798133026,-1,3.620874142,1.711067804,1.711067804,0.0473075,0.168661,0.045374,
mol_284,-1160.069789930173,66,3.16049,389.5960800000005,-163.153595018,-160.079428427,-27.49744438,-16.637146117,I_imid,EP,Hydro,EP,Butyl,Butyl,3.874770761,0,3.874770761,1.602489835,1.602489835,0.080244,0.281282,0.08547,
mol_28402,-2739.081699919851,143,4.49953,911.3098599999979,-157.999863601,-157.479031131,-46.071710780000004,-42.192450142000006,IV_imid3,tolu,Unspecified,phen,t-Butyl,t-Butyl,3.798133026,-1,3.620874142,4.972259776,4.972259776,0.0481615,0.165869,0.04684,
mol_28403,-3053.508387807210,167,7.65454,1023.5224999999976,-156.710960115,-155.414526521,-45.04887111000001,-39.939692832,IV_imid3,tolu,Unspecified,phen,DMB,DMB,3.798133026,-1,3.620874142,1.753807476,1.753807476,0.046928500000000005,0.1742715,0.047313999999999995,
mol_2841,-1779.163270581772,98,3.44031,597.8943199999977,-149.059742878,-148.134794612,-22.230761343,-18.650822498,I_imid,TMBz,Sec-Butyl,TMBz,DMP,DMP,2.232277195,2.129855094,2.232277195,8.431506296,8.431506296,0.109426,0.295203,0.070815,
mol_28415,-2189.040064408178,101,0.34862,714.9377399999985,-162.97349993499998,-162.708691137,-48.234734303,-44.422617128,IV_imid3,tolu,Unspecified,tolu,Hydro,Hydro,3.798133026,-1,3.798133026,0,0,0.0458965,0.1746885,0.0464305,
mol_28421,-2817.727022150406,149,5.08065,939.3630199999978,-157.33219402499998,-156.166282303,-46.412448167,-41.216046138,IV_imid3,tolu,Unspecified,tolu,Sec-Butyl,Sec-Butyl,3.798133026,-1,3.798133026,2.129855094,2.129855094,0.0469095,0.16691250000000002,0.046217499999999995,
mol_28424,-3112.880653513296,141,9.04803,1019.3215799999988,-149.680349279,-149.059742878,-49.482849703999996,-45.903538368,IV_imid3,tolu,Unspecified,tolu,phen,phen,3.798133026,-1,3.798133026,3.620874142,3.620874142,0.043463,0.170181,0.0451695,
mol_28436,-2424.816482758111,119,1.18758,799.0972199999982,-158.263417381,-157.201672153,-46.38985784300001,-40.811930342,IV_imid3,tolu,Unspecified,DMP,Methyl,Methyl,3.798133026,-1,8.431506296,1.803016771,1.803016771,0.047287499999999996,0.16226649999999998,0.047477,
mol_2846,-1857.752700369213,104,4.95716,625.9474799999977,-150.366216616,-147.44265218500001,-18.584934053,-13.305073327,I_imid,TMBz,Sec-Butyl,TMBz,DMBz,DMBz,2.232277195,2.129855094,2.232277195,2.127721562,2.127721562,0.130457,0.409636,0.130407,
mol_28460,-3053.518441777807,167,4.25831,1023.5224999999976,-156.94627599,-156.154987141,-47.578987398,-41.832259976,IV_imid3,tolu,Unspecified,DEP,Isobutyl,Isobutyl,3.798133026,-1,10.28464853,3.276026296,3.276026296,0.0438115,0.16243649999999998,0.045853000000000005,
mol_2847,-1936.349410454103,110,1.36895,654.0006399999976,-146.842753581,-145.139694155,-17.744699502,-13.291895638,I_imid,TMBz,Sec-Butyl,TMBz,TMBz,TMBz,2.232277195,2.129855094,2.232277195,2.232277195,2.232277195,0.138634,0.427267,0.136058,
mol_28484,-3270.062201007098,153,8.58918,1075.4278999999988,-149.522217011,-148.902238119,-50.265353426999994,-45.585391305,IV_imid3,tolu,Unspecified,TMP,phen,phen,3.798133026,-1,7.628118434,3.620874142,3.620874142,0.0433205,0.15918,0.042988,
mol_2849,-2308.971790671273,110,1.71161,721.943879999998,-138.901627186,-133.59039101,-14.900201205,-13.547919310000001,I_imid,TMBz,Sec-Butyl,TMBz,TMOB,TMOB,2.232277195,2.129855094,2.232277195,6.045928531,6.045928531,0.130027,0.390335,0.119162,
mol_28495,-2267.625263970524,107,1.31576,742.9908999999983,-163.730903298,-162.92518174199998,-46.584385633,-42.00043238800001,IV_imid3,tolu,Unspecified,EP,Hydro,Hydro,3.798133026,-1,3.874770761,0,0,0.0479215,0.1834805,0.04796,
mol_28496,-2424.819000482093,119,1.24121,799.0972199999982,-159.250489038,-157.92393501200002,-43.714786976000006,-39.278298346,IV_imid3,tolu,Unspecified,EP,Methyl,Methyl,3.798133026,-1,3.874770761,1.803016771,1.803016771,0.049711,0.18559900000000001,0.051304499999999996,
mol_28499,-2896.345944385788,155,3.79377,967.4161799999978,-157.46710846,-155.723260949,-47.135966044,-42.223825592000004,IV_imid3,tolu,Unspecified,EP,Butyl,Butyl,3.798133026,-1,3.874770761,1.602489835,1.602489835,0.044394,0.163766,0.047181499999999994,
mol_28502,-2896.262308181584,155,5.31194,967.4161799999978,-158.792407468,-157.974763241,-46.608230975,-41.398023748,IV_imid3,tolu,Unspecified,EP,t-Butyl,t-Butyl,3.798133026,-1,3.874770761,4.972259776,4.972259776,0.0473755,0.170807,0.0478175,
mol_28516,-2346.239631924770,113,3.61755,771.0440599999982,-158.476770441,-157.158374032,-41.825357377,-37.884600857,IV_imid3,tolu,Unspecified,Bz,Methyl,Methyl,3.798133026,-1,1.541420611,1.803016771,1.803016771,0.0491435,0.18276150000000002,0.049505999999999994,
mol_28519,-2817.763305857484,149,3.33117,939.3630199999978,-157.60516044,-156.487566911,-43.903667185,-38.746170714,IV_imid3,tolu,Unspecified,Bz,Butyl,Butyl,3.798133026,-1,1.541420611,1.602489835,1.602489835,0.046984,0.1706295,0.0473405,
mol_2852,-1460.879404004816,70,0.56748,453.59368000000046,-147.086227073,-146.731684488,-19.661739497,-15.363930356,I_imid,DMOB,Sec-Butyl,DMOB,Ethyl,Ethyl,6.042753333,2.129855094,6.042753333,1.711067804,1.711067804,0.041125,0.122667,0.039065,
mol_28522,-2817.680433647985,149,3.02051,939.3630199999978,-158.666278159,-157.608297985,-43.390992332,-38.207140482999996,IV_imid3,tolu,Unspecified,Bz,t-Butyl,t-Butyl,3.798133026,-1,1.541420611,4.972259776,4.972259776,0.0501385,0.18684849999999997,0.053401000000000004,
mol_28524,-3112.887496219500,141,8.02130,1019.3215799999988,-149.149476665,-148.649979501,-48.833377889000005,-44.435167308000004,IV_imid3,tolu,Unspecified,Bz,phen,phen,3.798133026,-1,1.541420611,3.620874142,3.620874142,0.040680499999999994,0.161722,0.044172,
mol_2853,-1539.462301659921,76,1.38589,481.64684000000057,-147.137682811,-146.761177411,-19.043643132,-16.140158989,I_imid,DMOB,Sec-Butyl,DMOB,Propyl,Propyl,6.042753333,2.129855094,6.042753333,1.649728751,1.649728751,0.025163,0.069439,0.023682,
mol_28537,-2660.589635320730,137,4.32523,883.256699999998,-155.324165225,-155.255766744,-42.927263181,-41.297622308,IV_imid3,tolu,Unspecified,DMBz,Ethyl,Ethyl,3.798133026,-1,2.127721562,1.711067804,1.711067804,0.045493500000000006,0.169833,0.0484625,
mol_28538,-2817.763961522813,149,4.16907,939.3630199999978,-155.462844714,-154.162018557,-44.585141959000005,-39.561932414000005,IV_imid3,tolu,Unspecified,DMBz,Propyl,Propyl,3.798133026,-1,2.127721562,1.649728751,1.649728751,0.0483645,0.1795715,0.049007,
mol_28541,-2974.908270912174,161,1.82864,995.4693399999977,-153.922310119,-153.60792811000002,-44.389359151,-38.153802218,IV_imid3,tolu,Unspecified,DMBz,Sec-Butyl,Sec-Butyl,3.798133026,-1,2.127721562,2.129855094,2.129855094,0.052324499999999996,0.19004500000000002,0.052717,
mol_2855,-1618.058521071565,82,2.79199,509.70000000000056,-147.099404762,-146.85342123400002,-18.90684617,-16.811593619,I_imid,DMOB,Sec-Butyl,DMOB,Isobutyl,Isobutyl,6.042753333,2.129855094,6.042753333,3.276026296,3.276026296,0.024589,0.066744,0.025921,
mol_28573,-4264.617028305610,191,8.47420,1343.6888999999985,-139.249267172,-139.163298439,-45.745406100000004,-41.930151380000005,IV_imid3,tolu,Unspecified,TMBz,DMOB,DMOB,3.798133026,-1,2.232277195,6.042753333,6.042753333,0.041794,0.1503235,0.0444555,
mol_28575,-2568.427690308805,111,2.67530,806.9884999999986,-150.081955039,-146.545941824,-45.991389628,-43.544104528,IV_imid3,tolu,Unspecified,DMOB,Hydro,Hydro,3.798133026,-1,6.042753333,0,0,0.0469165,0.1804775,0.045518,
mol_28586,-3806.622958382814,175,7.54735,1223.5849799999987,-149.213482583,-147.079324474,-46.147639369,-42.845687011,IV_imid3,tolu,Unspecified,DMOB,DMP,DMP,3.798133026,-1,6.042753333,8.431506296,8.431506296,0.045246,0.180506,0.0441195,
mol_28598,-3268.968732482032,155,0.93587,1035.3594199999984,-146.415419952,-145.856936942,-44.241267027,-38.852847244,IV_imid3,tolu,Unspecified,TMOB,Propyl,Propyl,3.798133026,-1,6.045928531,1.649728751,1.649728751,0.0446205,0.1603615,0.0444545,
mol_2860,-1844.206009923600,84,4.86316,577.7324399999982,-147.49912799499998,-147.100032271,-21.814722876,-20.523936863,I_imid,DMOB,Sec-Butyl,DMOB,tolu,tolu,6.042753333,2.129855094,6.042753333,3.798133026,3.798133026,0.012842,0.062057,0.048586,
mol_28603,-3740.479236628297,191,0.98450,1203.6783799999978,-146.495113595,-145.70194221900002,-45.11789710000001,-39.443333212999995,IV_imid3,tolu,Unspecified,TMOB,DMB,DMB,3.798133026,-1,6.045928531,1.753807476,1.753807476,0.0443285,0.157668,0.0444155,
mol_2861,-1922.786067443512,90,6.05739,605.7855999999981,-147.025986209,-146.715996763,-23.341452273,-19.890152773000004,I_imid,DMOB,Sec-Butyl,DMOB,DMP,DMP,6.042753333,2.129855094,6.042753333,8.431506296,8.431506296,0.067408,0.267995,0.083825,
